segment,name,got_l2,hit,ok,err
晶圆制造,华润微电子有限公司,半导体芯片,0,1,
晶圆制造,中芯国际集成电路制造有限公司,晶圆制造,1,1,
晶圆制造,华虹半导体有限公司,晶圆制造,1,1,
晶圆制造,晶合集成电路股份有限公司,晶圆制造,1,1,
晶圆制造,华虹宏力半导体制造有限公司,晶圆制造,1,1,
晶圆制造,广州增芯科技有限公司,晶圆制造,1,1,
晶圆制造,芯联集成电路制造股份有限公司,晶圆制造,1,1,
晶圆制造,合肥长鑫存储技术有限公司,晶圆制造,1,1,
晶圆制造,士兰微电子股份有限公司,晶圆制造,1,1,
晶圆制造,粤芯半导体技术股份有限公司,晶圆制造,1,1,
晶圆制造,武汉新芯集成电路制造有限公司,晶圆制造,1,1,
晶圆制造,长江存储科技有限责任公司,晶圆制造,1,1,
晶圆制造,台积电,晶圆制造,1,1,
晶圆制造,联华电子股份有限公司,晶圆制造,1,1,
晶圆制造,格罗方德半导体股份有限公司,晶圆制造,1,1,
晶圆制造,英特尔公司,晶圆制造,1,1,
晶圆制造,三星电子,晶圆制造,1,1,
晶圆制造,SK海力士公司,晶圆制造,1,1,
晶圆制造,美光科技公司,晶圆制造,1,1,
晶圆制造,意法半导体公司,晶圆制造,1,1,
晶圆制造,瑞芯微电子股份有限公司,半导体芯片,0,1,
晶圆制造,兆易创新科技集团股份有限公司,半导体芯片,0,1,
晶圆制造,北京君正集成电路股份有限公司,半导体芯片,0,1,
封装测试,江苏长电科技股份有限公司,封装测试,1,1,
封装测试,天水华天科技股份有限公司,半导体制造,0,1,
封装测试,通富微电子股份有限公司,半导体制造,0,1,
晶圆制造,德州仪器公司,晶圆制造,1,1,
晶圆制造,英飞凌科技公司,晶圆制造,1,1,
晶圆制造,瑞萨电子公司,晶圆制造,1,1,
晶圆制造,恩智浦半导体公司,晶圆制造,1,1,
晶圆制造,安森美半导体公司,晶圆制造,1,1,
封装测试,日月光投资控股股份有限公司,封装测试,1,1,
晶圆制造,微芯科技公司,晶圆制造,1,1,
晶圆制造,罗姆半导体公司,晶圆制造,1,1,
封装测试,晶方半导体科技股份有限公司,封装测试,1,1,
封装测试,甬矽电子（宁波）股份有限公司,封装测试,1,1,
封装测试,颀中科技（苏州）股份有限公司,封装测试,1,1,
封装测试,伟测科技股份有限公司,封装测试,1,1,
封装测试,甬矽电子股份有限公司,封装测试,1,1,
